state_ab,county,tvdma
AL,AUTAUGA,"Montgomery, AL DMA"
AL,BALDWIN,"Mobile, AL - Pensacola, FL - MS DMA"
AL,BARBOUR,"Columbus, GA - AL DMA"
AL,BIBB,"Birmingham, AL DMA"
AL,BLOUNT,"Birmingham, AL DMA"
AL,BULLOCK,"Montgomery, AL DMA"
AL,BUTLER,"Montgomery, AL DMA"
AL,CALHOUN,"Birmingham, AL DMA"
AL,CHAMBERS,"Columbus, GA - AL DMA"
AL,CHEROKEE,"Birmingham, AL DMA"
AL,CHILTON,"Birmingham, AL DMA"
AL,CHOCTAW,"Meridian, MS - AL DMA"
AL,CLARKE,"Mobile, AL - Pensacola, FL - MS DMA"
AL,CLAY,"Birmingham, AL DMA"
AL,CLEBURNE,"Atlanta, GA - AL - NC DMA"
AL,COFFEE,"Dothan, AL - GA DMA"
AL,COLBERT,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,CONECUH,"Mobile, AL - Pensacola, FL - MS DMA"
AL,COOSA,"Montgomery, AL DMA"
AL,COVINGTON,"Montgomery, AL DMA"
AL,CRENSHAW,"Montgomery, AL DMA"
AL,CULLMAN,"Birmingham, AL DMA"
AL,DALE,"Dothan, AL - GA DMA"
AL,DALLAS,"Montgomery, AL DMA"
AL,DE KALB,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,ELMORE,"Montgomery, AL DMA"
AL,ESCAMBIA,"Mobile, AL - Pensacola, FL - MS DMA"
AL,ETOWAH,"Birmingham, AL DMA"
AL,FAYETTE,"Birmingham, AL DMA"
AL,FRANKLIN,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,GENEVA,"Dothan, AL - GA DMA"
AL,GREENE,"Birmingham, AL DMA"
AL,HALE,"Birmingham, AL DMA"
AL,HENRY,"Dothan, AL - GA DMA"
AL,HOUSTON,"Dothan, AL - GA DMA"
AL,JACKSON,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,JEFFERSON,"Birmingham, AL DMA"
AL,LAMAR,"Columbus - Tupelo - West Point, MS - AL DMA"
AL,LAUDERDALE,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,LAWRENCE,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,LEE,"Columbus, GA - AL DMA"
AL,LIMESTONE,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,LOWNDES,"Montgomery, AL DMA"
AL,MACON,"Montgomery, AL DMA"
AL,MADISON,"Huntsville - Decatur - Florence, AL - TN DMA"
AL,MARENGO,"Montgomery, AL DMA"
AL,MARION,"Birmingham, AL DMA"
